name,eco,fen,moves
Benoni Defense: Benoni-Staunton Gambit,A43,rnbqkbnr/pp1pp1pp/8/2pP1p2/4P3/8/PPP2PPP/RNBQKBNR b KQkq,  d4 c5   d5 f5   e4
Benoni Defense: Classical Variation,A70,rnbqkb1r/pp3p1p/3p1np1/2pP4/4P3/2N2N2/PP3PPP/R1BQKB1R b KQkq,  d4 Nf6   c4 e6   Nf3 c5   d5 exd5   cxd5 d6   Nc3 g6   e4
"Benoni Defense: Classical Variation, Argentine Counterattack",A75,rn1q1rk1/1p3pbp/p2p1np1/2pP4/P3P1b1/2N2N2/1P2BPPP/R1BQ1RK1 w -,  d4 Nf6   c4 e6   Nf3 c5   d5 exd5   cxd5 d6   Nc3 g6   e4 Bg7   Be2 O-O   O-O a6   a4 Bg4
"Benoni Defense: Classical Variation, Averbakh-Grivas Attack",A71,rnbqk2r/pp3pbp/3p1np1/2pP2B1/4P3/2N2N2/PP3PPP/R2QKB1R b KQkq,  d4 Nf6   c4 e6   Nf3 c5   d5 exd5   cxd5 d6   Nc3 g6   e4 Bg7   Bg5
"Benoni Defense: Classical Variation, Czerniak Defense",A76,rnbqr1k1/pp3pbp/3p1np1/2pP4/4P3/2N2N2/PP2BPPP/R1BQ1RK1 w -,  d4 Nf6   c4 c5   d5 e6   Nc3 exd5   cxd5 d6   e4 g6   Nf3 Bg7   Be2 O-O   O-O Re8
"Benoni Defense: Classical Variation, Czerniak Defense, 9. O-O Re8 10. Nd2 Na6",A78,r1bqr1k1/pp3pbp/n2p1np1/2pP4/4P3/2N5/PP1NBPPP/R1BQ1RK1 w -,  d4 Nf6   c4 e6   Nf3 c5   d5 exd5   cxd5 d6   Nc3 g6   e4 Bg7   Be2 O-O   O-O Re8   Nd2 Na6
"Benoni Defense: Classical Variation, Czerniak Defense, 10. Nd2 Na6 11. f3",A79,r1bqr1k1/pp3pbp/n2p1np1/2pP4/4P3/2N2P2/PP1NB1PP/R1BQ1RK1 b -,  d4 Nf6   c4 c5   d5 e6   Nc3 exd5   cxd5 d6   e4 g6   Nf3 Bg7   Be2 O-O   O-O Re8   Nd2 Na6   f3
"Benoni Defense: Classical Variation, Czerniak Defense, Tal Line",A77,rnbqr1k1/pp3pbp/3p1np1/2pP4/4P3/2N5/PP1NBPPP/R1BQ1RK1 b -,  d4 Nf6   c4 c5   d5 e6   Nc3 exd5   cxd5 d6   e4 g6   Nf3 Bg7   Be2 O-O   O-O Re8   Nd2
"Benoni Defense: Classical Variation, Full Line",A74,rnbq1rk1/1p3pbp/p2p1np1/2pP4/P3P3/2N2N2/1P2BPPP/R1BQ1RK1 b -,  d4 Nf6   c4 c5   d5 e6   Nc3 exd5   cxd5 d6   e4 g6   Nf3 Bg7   Be2 O-O   O-O a6   a4
"Benoni Defense: Classical Variation, Main Line",A73,rnbq1rk1/pp3pbp/3p1np1/2pP4/4P3/2N2N2/PP2BPPP/R1BQ1RK1 b -,  d4 Nf6   c4 c5   d5 e6   Nc3 exd5   cxd5 d6   e4 g6   Nf3 Bg7   Be2 O-O   O-O
"Benoni Defense: Classical Variation, New York Variation",A70,rnbqk2r/pp3pbp/3p1np1/2pP4/4P3/2N2N1P/PP3PP1/R1BQKB1R b KQkq,  d4 Nf6   c4 e6   Nf3 c5   d5 exd5   cxd5 d6   Nc3 g6   e4 Bg7   h3
"Benoni Defense: Classical Variation, Traditional Variation",A72,rnbqk2r/pp3pbp/3p1np1/2pP4/4P3/2N2N2/PP2BPPP/R1BQK2R b KQkq,  d4 Nf6   c4 e6   Nf3 c5   d5 exd5   cxd5 d6   Nc3 g6   e4 Bg7   Be2
"Benoni Defense: Classical, without 9. O-O",A72,rnbq1rk1/pp3pbp/3p1np1/2pP4/4P3/2N2N2/PP2BPPP/R1BQK2R w KQ,  d4 Nf6   c4 c5   d5 e6   Nc3 exd5   cxd5 d6   e4 g6   Nf3 Bg7   Be2 O-O
Benoni Defense: Cormorant Gambit,A43,rnbqkbnr/p2ppppp/1p6/2P5/8/8/PPP1PPPP/RNBQKBNR w KQkq,  d4 c5   dxc5 b6
Benoni Defense: Czech Benoni Defense,A56,rnbqkb1r/pp1p1ppp/5n2/2pPp3/2P5/8/PP2PPPP/RNBQKBNR w KQkq,  d4 Nf6   c4 c5   d5 e5
Benoni Defense: Fianchetto Variation,A61,rnbqkb1r/pp3p1p/3p1np1/2pP4/8/2N2NP1/PP2PP1P/R1BQKB1R b KQkq,  d4 Nf6   c4 e6   Nf3 c5   d5 exd5   cxd5 d6   Nc3 g6   g3
"Benoni Defense: Fianchetto Variation, 7. Bg2 Bg7 8. Nf3 O-O",A62,rnbq1rk1/pp3pbp/3p1np1/2pP4/8/2N2NP1/PP2PPBP/R1BQK2R w KQ,  d4 Nf6   c4 e6   g3 c5   d5 exd5   cxd5 d6   Nc3 g6   Bg2 Bg7   Nf3 O-O
"Benoni Defense: Fianchetto Variation, Hastings Defense",A63,r1bq1rk1/pp1n1pbp/3p1np1/2pP4/8/2N2NP1/PP2PPBP/R1BQ1RK1 w -,  d4 Nf6   c4 e6   g3 c5   d5 exd5   cxd5 d6   Nc3 g6   Bg2 Bg7   Nf3 O-O   O-O Nbd7
