name,eco,fen,moves
Alekhine Defense: The Squirrel,B02,rnbqkb1r/pppppppp/8/4P3/2P2n2/8/PP1P1PPP/RNBQKBNR w KQkq,  e4 Nf6   e5 Nd5   c4 Nf4
Alekhine Defense: Two Pawn Attack,B02,rnbqkb1r/pppppppp/8/3nP3/2P5/8/PP1P1PPP/RNBQKBNR b KQkq,  e4 Nf6   e5 Nd5   c4
"Alekhine Defense: Two Pawn Attack, Lasker Variation",B02,rnbqkb1r/pppppppp/1n6/2P1P3/8/8/PP1P1PPP/RNBQKBNR b KQkq,  e4 Nf6   e5 Nd5   c4 Nb6   c5
Alekhine Defense: Welling Variation,B02,rnbqkb1r/pppppppp/8/3nP3/8/1P6/P1PP1PPP/RNBQKBNR b KQkq,  e4 Nf6   e5 Nd5   b3
Amar Opening,E00,rnbqkbnr/pppppppp/8/8/8/7N/PPPPPPPP/RNBQKB1R b KQkq,  Nh3
Amar Opening: Paris Gambit,A00,rnbqkbnr/ppp2ppp/8/3pp3/5P2/6PN/PPPPP2P/RNBQKB1R b KQkq,  Nh3 d5   g3 e5   f4
Amazon Attack,D00,rnbqkbnr/ppp1pppp/8/3p4/3P4/3Q4/PPP1PPPP/RNB1KBNR b KQkq,  d4 d5   Qd3
Amazon Attack: Siberian Attack,D00,rnbqkb1r/ppp1pppp/5n2/3p4/3P4/2NQ4/PPP1PPPP/R1B1KBNR b KQkq,  d4 Nf6   Nc3 d5   Qd3
Amsterdam Attack,A00,r1bqkb1r/ppp2ppp/2np1n2/4p3/2P5/1PN1P3/P2P1PPP/R1BQKBNR w KQkq,  e3 e5   c4 d6   Nc3 Nc6   b3 Nf6
Anderssen Opening,A00,rnbqkbnr/pppppppp/8/8/8/P7/1PPPPPPP/RNBQKBNR b KQkq,  a3
Anderssen Opening: Polish Gambit,A00,rnbqkbnr/1ppppppp/8/p7/1P6/P7/2PPPPPP/RNBQKBNR b KQkq,  a3 a5   b4
Australian Defense,A40,r1bqkbnr/pppppppp/n7/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq,  d4 Na6
Barnes Defense,B00,rnbqkbnr/ppppp1pp/5p2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq,  e4 f6
Barnes Opening: Fool's Mate,A00,rnb1kbnr/pppp1ppp/8/4p3/6Pq/5P2/PPPPP2P/RNBQKBNR w KQkq,  f3 e5   g4 Qh4#
Barnes Opening: Gedult Gambit,A00,rnbqkbnr/ppppp1pp/8/8/4p3/2N2P2/PPPP2PP/R1BQKBNR b KQkq,  f3 f5   e4 fxe4   Nc3
Barnes Opening: Hammerschlag,A00,rnbqkbnr/pppp1ppp/8/4p3/8/5P2/PPPPPKPP/RNBQ1BNR b kq,  f3 e5   Kf2
Barnes Opening: Walkerling,A00,rnbqkb1r/pppp1ppp/5n2/4p3/2B1P3/5P2/PPPP2PP/RNBQK1NR b KQkq,  f3 e5   e4 Nf6   Bc4
Benko Gambit,A57,rnbqkb1r/p2ppppp/5n2/1ppP4/2P5/8/PP2PPPP/RNBQKBNR w KQkq,  d4 Nf6   c4 c5   d5 b5
Benko Gambit Accepted,A57,rnbqkb1r/3ppppp/p4n2/1PpP4/8/8/PP2PPPP/RNBQKBNR w KQkq,  d4 Nf6   c4 c5   d5 b5   cxb5 a6
"Benko Gambit Declined, Bishop Attack",A57,rnbqkb1r/p2ppppp/5n2/1ppP2B1/2P5/8/PP2PPPP/RN1QKBNR b KQkq,  d4 Nf6   c4 c5   d5 b5   Bg5
"Benko Gambit Declined, Hjoerring Countergambit",A57,rnbqkb1r/p2ppppp/5n2/1ppP4/2P1P3/8/PP3PPP/RNBQKBNR b KQkq,  d4 Nf6   c4 c5   d5 b5   e4
"Benko Gambit Declined, Main Line",A57,rnbqkb1r/p2ppppp/5n2/1ppP4/2P5/5N2/PP2PPPP/RNBQKB1R b KQkq,  d4 Nf6   c4 c5   d5 b5   Nf3
"Benko Gambit Declined, Pseudo-Saemisch",A57,rnbqkb1r/p2ppppp/5n2/1ppP4/2P5/5P2/PP2P1PP/RNBQKBNR b KQkq,  d4 Nf6   c4 c5   d5 b5   f3
"Benko Gambit Declined, Quiet Line",A57,rnbqkb1r/p2ppppp/5n2/1ppP4/2P5/8/PP1NPPPP/R1BQKBNR b KQkq,  d4 Nf6   c4 c5   d5 b5   Nd2
"Benko Gambit Declined, Sosonko Variation",A57,rnbqkb1r/p2ppppp/5n2/1ppP4/P1P5/8/1P2PPPP/RNBQKBNR b KQkq,  d4 Nf6   c4 c5   d5 b5   a4
Benko Gambit: Mutkin Countergambit,A57,rnbqkb1r/p2ppppp/5n2/1ppP4/2P3P1/8/PP2PP1P/RNBQKBNR b KQkq,  d4 Nf6   c4 c5   d5 b5   g4
Benoni Defense,A56,rnbqkb1r/pp1ppppp/5n2/2p5/2PP4/8/PP2PPPP/RNBQKBNR w KQkq,  d4 Nf6   c4 c5
Benoni Defense: Benoni Gambit Accepted,A43,rnbqkbnr/pp1ppppp/8/2P5/8/8/PPP1PPPP/RNBQKBNR b KQkq,  d4 c5   dxc5
"Benoni Defense: Benoni Gambit, Schlenker Defense",A43,r1bqkbnr/pp1ppppp/n7/2P5/8/8/PPP1PPPP/RNBQKBNR w KQkq,  d4 c5   dxc5 Na6
Benoni Defense: Benoni-Indian Defense,A43,rnbqkb1r/pp1ppppp/5n2/2pP4/8/8/PPP1PPPP/RNBQKBNR w KQkq,  d4 c5   d5 Nf6
"Benoni Defense: Benoni-Indian Defense, Kingside Move Order",A43,rnbqkb1r/pp1ppppp/5n2/2pP4/8/5N2/PPP1PPPP/RNBQKB1R b KQkq,  d4 Nf6   Nf3 c5   d5
Benoni Defense: Benoni-Staunton Gambit,A43,rnbqkbnr/pp1pp1pp/8/2pP1p2/4P3/8/PPP2PPP/RNBQKBNR b KQkq,  d4 c5   d5 f5   e4
Benoni Defense: Cormorant Gambit,A43,rnbqkbnr/p2ppppp/1p6/2P5/8/8/PPP1PPPP/RNBQKBNR w KQkq,  d4 c5   dxc5 b6
Benoni Defense: Czech Benoni Defense,A56,rnbqkb1r/pp1p1ppp/5n2/2pPp3/2P5/8/PP2PPPP/RNBQKBNR w KQkq,  d4 Nf6   c4 c5   d5 e5
Benoni Defense: Hawk Variation,A43,rnbqkb1r/pp1ppppp/5n2/3P4/2p5/5N2/PPP1PPPP/RNBQKB1R w KQkq,  d4 Nf6   Nf3 c5   d5 c4
Benoni Defense: Hromadka System,A57,rnbqkb1r/pp2pppp/3p1n2/2pP4/2P5/8/PP2PPPP/RNBQKBNR w KQkq,  d4 Nf6   c4 c5   d5 d6
Benoni Defense: Modern Variation,A60,rnbqkb1r/pp1p1ppp/4pn2/2pP4/2P5/8/PP2PPPP/RNBQKBNR w KQkq,  d4 Nf6   c4 c5   d5 e6
Benoni Defense: Old Benoni,A43,rnbqkbnr/pp2pppp/3p4/2pP4/8/8/PPP1PPPP/RNBQKBNR w KQkq,  d4 c5   d5 d6
"Benoni Defense: Old Benoni, Schmid Variation",A43,rnbqkbnr/pp2pp1p/3p2p1/2pP4/8/2N5/PPP1PPPP/R1BQKBNR w KQkq,  d4 c5   d5 d6   Nc3 g6
Benoni Defense: Snail Variation,A43,r1bqkbnr/pp1ppppp/n7/2pP4/8/8/PPP1PPPP/RNBQKBNR w KQkq,  d4 c5   d5 Na6
Benoni Defense: Weenink Variation,A56,rnbqkb1r/pp1p1ppp/4pn2/2P5/2P5/8/PP2PPPP/RNBQKBNR w KQkq,  d4 Nf6   c4 c5   dxc5 e6
Benoni Defense: Woozle,A43,rnb1kb1r/pp1ppppp/5n2/q1pP4/8/2N5/PPP1PPPP/R1BQKBNR w KQkq,  d4 c5   d5 Nf6   Nc3 Qa5
Benoni Defense: Zilbermints-Benoni Gambit,A43,rnbqkbnr/pp1ppppp/8/2p5/1P1P4/8/P1P1PPPP/RNBQKBNR b KQkq,  d4 c5   b4
"Benoni Defense: Zilbermints-Benoni Gambit, Tamarkin Countergambit",A56,rnbqkbnr/pp1p1ppp/8/4p3/1P1p4/5N2/P1P1PPPP/RNBQKB1R w KQkq,  d4 c5   Nf3 cxd4   b4 e5
Bird Opening,A02,rnbqkbnr/pppppppp/8/8/5P2/8/PPPPP1PP/RNBQKBNR b KQkq,  f4
Bird Opening: Batavo-Polish Attack,A02,rnbqkb1r/pppppp1p/5np1/8/1P3P2/5N2/P1PPP1PP/RNBQKB1R b KQkq,  f4 Nf6   Nf3 g6   b4
Bird Opening: Dutch Variation,A03,rnbqkbnr/ppp1pppp/8/3p4/5P2/8/PPPPP1PP/RNBQKBNR w KQkq,  f4 d5
"Bird Opening: Dutch Variation, Batavo Gambit",A02,rnbqkbnr/pp2pppp/8/2p5/4pP2/5N2/PPPP2PP/RNBQKB1R w KQkq,  e4 c5   f4 d5   Nf3 dxe4
"Bird Opening: Dutch Variation, Dudweiler Gambit",A02,rnbqkbnr/ppp1pppp/8/3p4/5PP1/8/PPPPP2P/RNBQKBNR b KQkq,  f4 d5   g4
Bird Opening: From's Gambit,A02,rnbqkbnr/pppp1ppp/8/4p3/5P2/8/PPPPP1PP/RNBQKBNR w KQkq,  f4 e5
"Bird Opening: From's Gambit, Bahr Gambit",A02,rnbqkbnr/pppp1ppp/8/4p3/5P2/2N5/PPPPP1PP/R1BQKBNR b KQkq,  f4 e5   Nc3
"Bird Opening: From's Gambit, Langheld Gambit",A02,rnbqkb1r/ppp2ppp/3P1n2/8/8/8/PPPPP1PP/RNBQKBNR w KQkq,  f4 e5   fxe5 d6   exd6 Nf6
Bird Opening: Hobbs Gambit,A02,rnbqkbnr/pppppp1p/8/6p1/5P2/8/PPPPP1PP/RNBQKBNR w KQkq,  f4 g5
Bird Opening: Hobbs-Zilbermints Gambit,A02,rnbqkbnr/pppppp2/7p/6p1/5P2/5N2/PPPPP1PP/RNBQKB1R w KQkq,  f4 h6   Nf3 g5
Bird Opening: Horsefly Defense,A03,rnbqkb1r/pppppppp/7n/8/5P2/8/PPPPP1PP/RNBQKBNR w KQkq,  f4 Nh6
Bird Opening: Lasker Gambit,A02,rnbqkbnr/pppp2pp/5p2/4P3/8/8/PPPPP1PP/RNBQKBNR w KQkq,  f4 e5   fxe5 f6
Bird Opening: Lasker Variation,A03,rnbqkb1r/pp2pppp/5n2/2pp4/5P2/4PN2/PPPP2PP/RNBQKB1R w KQkq,  f4 d5   Nf3 Nf6   e3 c5
Bird Opening: Mujannah,A03,rnbqkb1r/pppppppp/5n2/8/2P2P2/8/PP1PP1PP/RNBQKBNR b KQkq,  f4 Nf6   c4
Bird Opening: Myers Defense,A02,rnbqkbnr/p1pppppp/8/1p6/5P2/8/PPPPP1PP/RNBQKBNR w KQkq,  f4 b5
Bird Opening: Platz Gambit,A02,rnbqkb1r/ppppnppp/8/4P3/8/8/PPPPP1PP/RNBQKBNR w KQkq,  f4 e5   fxe5 Ne7
Bird Opening: Schlechter Gambit,A02,r1bqkbnr/pppp1ppp/2n5/4P3/8/8/PPPPP1PP/RNBQKBNR w KQkq,  f4 e5   fxe5 Nc6
Bird Opening: Siegener Gambit,A02,rnbqkbnr/pp1p1ppp/8/2p5/3p1P2/2P2N2/PP2P1PP/RNBQKB1R b KQkq,  f4 e5   d4 exd4   Nf3 c5   c3
Bird Opening: Sturm Gambit,A02,rnbqkbnr/ppp1pppp/8/3p4/2P2P2/8/PP1PP1PP/RNBQKBNR b KQkq,  f4 d5   c4
Bird Opening: Swiss Gambit,A02,rnbqkb1r/ppppp1pp/5n2/8/4pPP1/2N5/PPPP3P/R1BQKBNR b KQkq,  f4 f5   e4 fxe4   Nc3 Nf6   g4
Bird Opening: Wagner-Zwitersch Gambit,A02,rnbqkbnr/ppppp1pp/8/5p2/4PP2/8/PPPP2PP/RNBQKBNR b KQkq,  f4 f5   e4
Bird Opening: Williams Gambit,A03,rnbqkbnr/ppp1pppp/8/3p4/4PP2/8/PPPP2PP/RNBQKBNR b KQkq,  f4 d5   e4
Bird Opening: Williams-Zilbermints Gambit,A02,rnbqkb1r/ppp1pppp/5n2/8/4pP2/2N5/PPPPN1PP/R1BQKB1R b KQkq,  f4 d5   e4 dxe4   Nc3 Nf6   Nge2
Bishop's Opening,C23,rnbqkbnr/pppp1ppp/8/4p3/2B1P3/8/PPPP1PPP/RNBQK1NR b KQkq,  e4 e5   Bc4
Bishop's Opening: Anderssen Gambit,C23,rnbqkbnr/p2p1ppp/2p5/1B2p3/4P3/8/PPPP1PPP/RNBQK1NR w KQkq,  e4 e5   Bc4 b5   Bxb5 c6
Bishop's Opening: Berlin Defense,C24,rnbqkb1r/pppp1ppp/5n2/4p3/2B1P3/8/PPPP1PPP/RNBQK1NR w KQkq,  e4 e5   Bc4 Nf6
"Bishop's Opening: Berlin Defense, Greco Gambit",C23,rnbqkb1r/pppp1ppp/5n2/4p3/2B1PP2/8/PPPP2PP/RNBQK1NR b KQkq,  e4 e5   Bc4 Nf6   f4
Bishop's Opening: Boden-Kieseritzky Gambit,C27,rnbqkb1r/pppp1ppp/8/4p3/2B1n3/2N2N2/PPPP1PPP/R1BQK2R b KQkq,  e4 e5   Nf3 Nf6   Bc4 Nxe4   Nc3
Bishop's Opening: Boi Variation,C20,rnbqk1nr/pppp1ppp/8/2b1p3/2B1P3/8/PPPP1PPP/RNBQK1NR w KQkq,  e4 e5   Bc4 Bc5
Bishop's Opening: Calabrese Countergambit,C23,rnbqkbnr/pppp2pp/8/4pp2/2B1P3/8/PPPP1PPP/RNBQK1NR w KQkq,  e4 e5   Bc4 f5
"Bishop's Opening: Calabrese Countergambit, Jaenisch Variation",C23,rnbqkbnr/pppp2pp/8/4pp2/2B1P3/3P4/PPP2PPP/RNBQK1NR b KQkq,  e4 e5   Bc4 f5   d3
Bishop's Opening: Horwitz Gambit,C23,rnbqkb1r/p1pp1ppp/5n2/1p2p3/2B1P3/2N5/PPPP1PPP/R1BQK1NR w KQkq,  e4 e5   Bc4 Nf6   Nc3 b5
Bishop's Opening: Khan Gambit,C23,rnbqkbnr/ppp2ppp/8/3pp3/2B1P3/8/PPPP1PPP/RNBQK1NR w KQkq,  e4 e5   Bc4 d5
Bishop's Opening: Lewis Countergambit,C23,rnbqk1nr/ppp2ppp/8/2bpp3/2B1P3/2P5/PP1P1PPP/RNBQK1NR w KQkq,  e4 e5   Bc4 Bc5   c3 d5
Bishop's Opening: Lewis Gambit,C23,rnbqk1nr/pppp1ppp/8/2b1p3/2BPP3/8/PPP2PPP/RNBQK1NR b KQkq,  e4 e5   Bc4 Bc5   d4
Bishop's Opening: Lopez Variation,C23,rnbqk1nr/pppp1ppp/8/2b1p3/2B1P3/8/PPPPQPPP/RNB1K1NR b KQkq,  e4 e5   Bc4 Bc5   Qe2
"Bishop's Opening: Lopez Variation, Lopez Gambit",C23,rnbqk2r/pppp1ppp/5n2/2b1p3/2B1PP2/8/PPPPQ1PP/RNB1K1NR b KQkq,  e4 e5   Bc4 Bc5   Qe2 Nf6   f4
Bishop's Opening: McDonnell Gambit,C23,rnbqk1nr/pppp1ppp/8/2b1p3/1PB1P3/8/P1PP1PPP/RNBQK1NR b KQkq,  e4 e5   Bc4 Bc5   b4
"Bishop's Opening: McDonnell Gambit, La Bourdonnais-Denker Gambit",C23,rnbqk1nr/pppp1ppp/8/4p3/1bB1P3/2P5/P2P1PPP/RNBQK1NR b KQkq,  e4 e5   Bc4 Bc5   b4 Bxb4   c3
"Bishop's Opening: McDonnell Gambit, McDonnell Double Gambit",C23,rnbqk1nr/pppp1ppp/8/4p3/1bB1PP2/8/P1PP2PP/RNBQK1NR b KQkq,  e4 e5   Bc4 Bc5   b4 Bxb4   f4
Bishop's Opening: Pachman Gambit,C23,rnbqkb1r/pppp1ppp/8/4p3/2B1n3/2N5/PPPP1PPP/RNBQK2R b KQkq,  e4 e5   Bc4 Nf6   Ne2 Nxe4   Nec3
Bishop's Opening: Philidor Counterattack,C23,rnbqkbnr/pp1p1ppp/2p5/4p3/2B1P3/8/PPPP1PPP/RNBQK1NR w KQkq,  e4 e5   Bc4 c6
Bishop's Opening: Philidor Variation,C23,rnbqk1nr/pppp1ppp/8/2b1p3/2B1P3/2P5/PP1P1PPP/RNBQK1NR b KQkq,  e4 e5   Bc4 Bc5   c3
Bishop's Opening: Ponziani Gambit,C24,rnbqkb1r/pppp1ppp/5n2/4p3/2BPP3/8/PPP2PPP/RNBQK1NR b KQkq,  e4 e5   Bc4 Nf6   d4
Bishop's Opening: Stein Gambit,C23,rnbqk1nr/pppp1ppp/8/2b1p3/2B1PP2/8/PPPP2PP/RNBQK1NR b KQkq,  e4 e5   Bc4 Bc5   f4
Bishop's Opening: Thorold Gambit,C23,rnbqkbnr/p1pp2pp/8/1B2pp2/4P3/8/PPPP1PPP/RNBQK1NR w KQkq,  e4 e5   Bc4 b5   Bxb5 f5
Bishop's Opening: Urusov Gambit,C24,rnbqkb1r/pppp1ppp/5n2/8/2BpP3/5N2/PPP2PPP/RNBQK2R b KQkq,  e4 e5   Bc4 Nf6   d4 exd4   Nf3
Bishop's Opening: Vienna Hybrid,C28,r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/2NP4/PPP2PPP/R1BQK1NR b KQkq,  e4 e5   Bc4 Nf6   d3 Nc6   Nc3
"Bishop's Opening: Vienna Hybrid, Spielmann Attack",C26,rnbqk2r/pppp1ppp/5n2/2b1p3/2B1P3/2NP4/PPP2PPP/R1BQK1NR b KQkq,  e4 e5   Nc3 Nf6   Bc4 Bc5   d3
Bishop's Opening: Warsaw Gambit,C24,rnbqkb1r/pppp1ppp/5n2/8/2BpP3/2P5/PP3PPP/RNBQK1NR b KQkq,  e4 e5   Bc4 Nf6   d4 exd4   c3
Bishop's Opening: del Rio Variation,C23,rnb1k1nr/pppp1ppp/8/2b1p1q1/2B1P3/2P5/PP1P1PPP/RNBQK1NR w KQkq,  e4 e5   Bc4 Bc5   c3 Qg5
Blackmar-Diemer Gambit,D00,rnbqkbnr/ppp1pppp/8/3p4/3PP3/8/PPP2PPP/RNBQKBNR b KQkq,  d4 d5   e4
"Blackmar-Diemer Gambit Declined, Brombacher Countergambit",D00,rnbqkb1r/pp2pppp/5n2/2p5/3Pp3/2N2P2/PPP3PP/R1BQKBNR w KQkq,  d4 Nf6   Nc3 d5   e4 dxe4   f3 c5
"Blackmar-Diemer Gambit Declined, Elbert Countergambit",D00,rnbqkb1r/ppp2ppp/5n2/4p3/3Pp3/2N2P2/PPP3PP/R1BQKBNR w KQkq,  d4 d5   e4 dxe4   Nc3 Nf6   f3 e5
"Blackmar-Diemer Gambit Declined, Grosshans Defense",D00,rn1qkbnr/pppbpppp/8/8/3Pp3/2N5/PPP2PPP/R1BQKBNR w KQkq,  d4 d5   e4 dxe4   Nc3 Bd7
"Blackmar-Diemer Gambit Declined, Langeheinecke Defense",D00,rnbqkb1r/ppp1pppp/5n2/8/3P4/2N1pP2/PPP3PP/R1BQKBNR w KQkq,  d4 Nf6   Nc3 d5   e4 dxe4   f3 e3
"Blackmar-Diemer Gambit Declined, O'Kelly Defense",D00,rnbqkb1r/pp2pppp/2p2n2/8/3Pp3/2N2P2/PPP3PP/R1BQKBNR w KQkq,  d4 Nf6   f3 d5   e4 dxe4   Nc3 c6
"Blackmar-Diemer Gambit Declined, Weinsbach Declination",D00,rnbqkb1r/ppp2ppp/4pn2/8/3Pp3/2N2P2/PPP3PP/R1BQKBNR w KQkq,  d4 Nf6   Nc3 d5   f3 e6   e4 dxe4
Blackmar-Diemer Gambit: Diemer-Rosenberg Attack,D00,rnbqkbnr/ppp1pppp/8/8/3Pp3/4B3/PPP2PPP/RN1QKBNR b KQkq,  d4 d5   e4 dxe4   Be3
Blackmar-Diemer Gambit: Fritz Attack,D00,rnbqkbnr/ppp1pppp/8/8/2BPp3/8/PPP2PPP/RNBQK1NR b KQkq,  d4 d5   e4 dxe4   Bc4
Blackmar-Diemer Gambit: Gedult Gambit,D00,rnbqkbnr/ppp1pppp/8/8/3Pp3/5P2/PPP3PP/RNBQKBNR b KQkq,  d4 d5   e4 dxe4   f3
"Blackmar-Diemer Gambit: Lemberger Countergambit, Diemer Attack",D00,rnbqkbnr/ppp2ppp/8/4p3/3Pp3/2N1B3/PPP2PPP/R2QKBNR b KQkq,  d4 d5   e4 dxe4   Nc3 e5   Be3
"Blackmar-Diemer Gambit: Lemberger Countergambit, Endgame Variation",D00,rnbqkbnr/ppp2ppp/8/4P3/4p3/2N5/PPP2PPP/R1BQKBNR b KQkq,  d4 d5   e4 dxe4   Nc3 e5   dxe5
"Blackmar-Diemer Gambit: Lemberger Countergambit, Rassmussen Attack",D00,rnbqkbnr/ppp2ppp/8/4p3/3Pp3/2N5/PPP1NPPP/R1BQKB1R b KQkq,  d4 d5   e4 dxe4   Nc3 e5   Nge2
"Blackmar-Diemer Gambit: Lemberger Countergambit, Simple Variation",D00,rnbqkbnr/ppp2ppp/8/4p3/3PN3/8/PPP2PPP/R1BQKBNR b KQkq,  d4 d5   e4 dxe4   Nc3 e5   Nxe4
"Blackmar-Diemer Gambit: Lemberger Countergambit, Sneider Attack",D00,rnbqkbnr/ppp2ppp/8/4p2Q/3Pp3/2N5/PPP2PPP/R1B1KBNR b KQkq,  e4 d5   d4 dxe4   Nc3 e5   Qh5
Blackmar-Diemer Gambit: Netherlands Variation,D00,rnbqkbnr/ppp1p1pp/8/5p2/3Pp3/2N5/PPP2PPP/R1BQKBNR w KQkq,  d4 f5   Nc3 d5   e4 dxe4
Blackmar-Diemer Gambit: Rasa-Studier Gambit,D00,rnbqkb1r/ppp1pppp/5n2/8/3Pp3/2N1B3/PPP2PPP/R2QKBNR b KQkq,  d4 d5   e4 dxe4   Nc3 Nf6   Be3
Blackmar-Diemer Gambit: Zeller Defense,D00,rn1qkbnr/ppp1pppp/8/5b2/3Pp3/2N5/PPP2PPP/R1BQKBNR w KQkq,  d4 d5   e4 dxe4   Nc3 Bf5
Blackmar-Diemer Gambit: von Popiel Gambit,D00,rnbqkb1r/ppp1pppp/5n2/6B1/3Pp3/2N5/PPP2PPP/R2QKBNR b KQkq,  d4 d5   e4 dxe4   Nc3 Nf6   Bg5
"Blackmar-Diemer, Lemberger Countergambit",D00,rnbqkb1r/ppp2ppp/5n2/3pp3/3PP3/2N5/PPP2PPP/R1BQKBNR w KQkq,  d4 d5   Nc3 Nf6   e4 e5
Blumenfeld Countergambit,E10,rnbqkb1r/pp1p1ppp/4pn2/2p5/2PP4/5N2/PP2PPPP/RNBQKB1R w KQkq,  d4 Nf6   c4 e6   Nf3 c5
Bogo-Indian Defense,E11,rnbqk2r/pppp1ppp/4pn2/8/1bPP4/5N2/PP2PPPP/RNBQKB1R w KQkq,  d4 Nf6   c4 e6   Nf3 Bb4+
Bogo-Indian Defense: Gruenfeld Variation,E11,rnbqk2r/pppp1ppp/4pn2/8/1bPP4/5N2/PP1NPPPP/R1BQKB1R b KQkq,  d4 Nf6   c4 e6   Nf3 Bb4+   Nbd2
